SRR396143.2994389 D050VACXX110915:3:2308:12411:194333/3
SRR396143.2994390 D050VACXX110915:3:2308:7126:194334/3
SRR396143.2994391 D050VACXX110915:3:2308:6443:194339/3
SRR396143.2994392 D050VACXX110915:3:2308:3761:194341/3
SRR396143.2994393 D050VACXX110915:3:2308:3608:194346/3
SRR396143.2994394 D050VACXX110915:3:2308:10656:194351/3
SRR396143.2994395 D050VACXX110915:3:2308:17724:194352/3
SRR396143.2994396 D050VACXX110915:3:2308:17985:194357/3
SRR396143.2994397 D050VACXX110915:3:2308:6158:194361/3
SRR396143.2994398 D050VACXX110915:3:2308:15968:194362/3
SRR396143.2994399 D050VACXX110915:3:2308:3293:194364/3
SRR396143.2994400 D050VACXX110915:3:2308:20991:194371/3
SRR396143.2994401 D050VACXX110915:3:2308:14502:194372/3
SRR396143.2994402 D050VACXX110915:3:2308:15519:194372/3
SRR396143.2994403 D050VACXX110915:3:2308:19098:194372/3
SRR396143.2994404 D050VACXX110915:3:2308:7526:194373/3
SRR396143.2994405 D050VACXX110915:3:2308:6245:194377/3
SRR396143.2994406 D050VACXX110915:3:2308:20476:194388/3
SRR396143.2994407 D050VACXX110915:3:2308:8961:194390/3
SRR396143.2994408 D050VACXX110915:3:2308:6765:194392/3
SRR396143.2994409 D050VACXX110915:3:2308:10771:194397/3
SRR396143.2994410 D050VACXX110915:3:2308:15535:194399/3
SRR396143.2994411 D050VACXX110915:3:2308:10101:194401/3
SRR396143.2994412 D050VACXX110915:3:2308:13938:194403/3
SRR396143.2994413 D050VACXX110915:3:2308:18229:194405/3
SRR396143.2994414 D050VACXX110915:3:2308:4834:194406/3
SRR396143.2994415 D050VACXX110915:3:2308:17696:194407/3
SRR396143.2994416 D050VACXX110915:3:2308:20347:194410/3
SRR396143.2994417 D050VACXX110915:3:2308:15602:194412/3
SRR396143.2994418 D050VACXX110915:3:2308:20311:194415/3
SRR396143.2994419 D050VACXX110915:3:2308:14305:194424/3
SRR396143.2994420 D050VACXX110915:3:2308:17263:194425/3
SRR396143.2994421 D050VACXX110915:3:2308:6936:194434/3
SRR396143.2994422 D050VACXX110915:3:2308:20049:194434/3
SRR396143.2994423 D050VACXX110915:3:2308:18202:194435/3
SRR396143.2994424 D050VACXX110915:3:2308:12963:194437/3
SRR396143.2994425 D050VACXX110915:3:2308:14380:194437/3
SRR396143.2994426 D050VACXX110915:3:2308:13822:194447/3
SRR396143.2994427 D050VACXX110915:3:2308:8492:194455/3
SRR396143.2994428 D050VACXX110915:3:2308:11194:194455/3
SRR396143.2994429 D050VACXX110915:3:2308:1342:194459/3
SRR396143.2994430 D050VACXX110915:3:2308:2482:194461/3
SRR396143.2994431 D050VACXX110915:3:2308:15684:194465/3
SRR396143.2994432 D050VACXX110915:3:2308:1705:194466/3
SRR396143.2994433 D050VACXX110915:3:2308:6476:194469/3
SRR396143.2994434 D050VACXX110915:3:2308:20347:194473/3
SRR396143.2994435 D050VACXX110915:3:2308:2214:194477/3
SRR396143.2994436 D050VACXX110915:3:2308:6945:194478/3
SRR396143.2994437 D050VACXX110915:3:2308:19944:194480/3
SRR396143.2994438 D050VACXX110915:3:2308:17568:194483/3
SRR396143.2994439 D050VACXX110915:3:2308:8181:194484/3
SRR396143.2994440 D050VACXX110915:3:2308:17368:194484/3
SRR396143.2994441 D050VACXX110915:3:2308:20769:194484/3
SRR396143.2994442 D050VACXX110915:3:2308:14773:194485/3
SRR396143.2994443 D050VACXX110915:3:2308:6619:194486/3
SRR396143.2994444 D050VACXX110915:3:2308:10517:194486/3
SRR396143.2994445 D050VACXX110915:3:2308:19636:194486/3
SRR396143.2994446 D050VACXX110915:3:2308:19114:194488/3
SRR396143.2994447 D050VACXX110915:3:2308:15985:194493/3
SRR396143.2994448 D050VACXX110915:3:2308:9007:194500/3
SRR396143.2994449 D050VACXX110915:3:2308:3350:194502/3
SRR396143.2994450 D050VACXX110915:3:2308:13474:194506/3
SRR396143.2994451 D050VACXX110915:3:2308:20763:194508/3
SRR396143.2994452 D050VACXX110915:3:2308:12938:194511/3
SRR396143.2994453 D050VACXX110915:3:2308:4751:194513/3
SRR396143.2994454 D050VACXX110915:3:2308:7708:194513/3
SRR396143.2994455 D050VACXX110915:3:2308:14684:194518/3
SRR396143.2994456 D050VACXX110915:3:2308:7941:194523/3
SRR396143.2994457 D050VACXX110915:3:2308:7272:194524/3
SRR396143.2994458 D050VACXX110915:3:2308:18335:194528/3
SRR396143.2994459 D050VACXX110915:3:2308:19976:194530/3
SRR396143.2994460 D050VACXX110915:3:2308:15412:194531/3
SRR396143.2994461 D050VACXX110915:3:2308:3291:194532/3
SRR396143.2994462 D050VACXX110915:3:2308:15472:194536/3
SRR396143.2994463 D050VACXX110915:3:2308:8259:194537/3
SRR396143.2994464 D050VACXX110915:3:2308:7812:194542/3
SRR396143.2994465 D050VACXX110915:3:2308:6804:194546/3
SRR396143.2994466 D050VACXX110915:3:2308:2570:194548/3
