ERR243065.1 HS9_09378:1:1101:1060:13075#36/1
ERR243065.2 HS9_09378:1:1101:1061:69091#36/1
ERR243065.3 HS9_09378:1:1101:1063:18992#36/1
ERR243065.4 HS9_09378:1:1101:1065:87119#36/1
ERR243065.5 HS9_09378:1:1101:1069:20137#36/1
ERR243065.6 HS9_09378:1:1101:1069:21431#36/1
ERR243065.7 HS9_09378:1:1101:1069:81545#36/1
ERR243065.221 HS9_09378:1:1101:1457:2026#36/2
ERR243065.3921 HS9_09378:1:1101:5965:31759#36/1
ERR243065.4623 HS9_09378:1:1101:6764:2025#36/2
ERR243065.5111 HS9_09378:1:1101:7284:100841#36/1
ERR243065.5864 HS9_09378:1:1101:8118:100856#36/1
ERR243065.7300 HS9_09378:1:1101:9714:100841#36/1
ERR243065.8075 HS9_09378:1:1101:10559:67478#36/1
ERR243065.9651 HS9_09378:1:1101:12383:100856#36/1
ERR243065.12142 HS9_09378:1:1101:15201:100862#36/1
ERR243065.13796 HS9_09378:1:1101:17019:2034#36/2
ERR243065.14154 HS9_09378:1:1101:17432:100858#36/1
ERR243065.15879 HS9_09378:1:1101:19529:100861#36/1
ERR243065.17122 HS9_09378:1:1101:21155:4687#36/1
ERR243065.17123 HS9_09378:1:1101:21155:13068#36/1
ERR243065.17125 HS9_09378:1:1101:21160:23161#36/1
ERR243065.17126 HS9_09378:1:1101:21161:5661#36/1
ERR243065.17127 HS9_09378:1:1101:21163:2501#36/1
ERR243065.17128 HS9_09378:1:1101:21164:54830#36/1
ERR243065.17129 HS9_09378:1:1101:21168:55009#36/1
ERR243065.17130 HS9_09378:1:1101:21175:40738#36/1
ERR243065.17131 HS9_09378:1:1101:21176:87588#36/1
ERR243065.17132 HS9_09378:1:1101:21179:7826#36/1
ERR243065.17133 HS9_09378:1:1101:21180:39486#36/1
ERR243065.17134 HS9_09378:1:1101:21180:97861#36/1
ERR243065.17135 HS9_09378:1:1101:21181:57059#36/1
ERR243065.17136 HS9_09378:1:1101:21182:40813#36/1
ERR243065.17137 HS9_09378:1:1101:21183:16632#36/1
ERR243065.17138 HS9_09378:1:1101:21185:99531#36/1
ERR243065.17139 HS9_09378:1:1101:21186:99031#36/1
ERR243065.17140 HS9_09378:1:1101:21187:77478#36/1
ERR243065.17141 HS9_09378:1:1101:21188:7939#36/1
ERR243065.17142 HS9_09378:1:1101:21190:72606#36/1
