ERR257948.1 D1UV2ACXX_0:1:1101:12:0/1
ERR257948.6 D1UV2ACXX_0:1:1101:53:0/1
ERR257948.7 D1UV2ACXX_0:1:1101:54:0/1
ERR257948.17 D1UV2ACXX_0:1:1101:104:0/1
ERR257948.18 D1UV2ACXX_0:1:1101:111:0/1
ERR257948.31 D1UV2ACXX_0:1:1101:164:0/1
ERR257948.32 D1UV2ACXX_0:1:1101:166:0/1
ERR257948.42 D1UV2ACXX_0:1:1101:217:0/1
ERR257948.43 D1UV2ACXX_0:1:1101:222:0/1
ERR257948.49 D1UV2ACXX_0:1:1101:271:0/1
ERR257948.50 D1UV2ACXX_0:1:1101:272:0/1
ERR257948.51 D1UV2ACXX_0:1:1101:276:0/1
ERR257948.52 D1UV2ACXX_0:1:1101:278:0/1
ERR257948.53 D1UV2ACXX_0:1:1101:280:0/1
ERR257948.66 D1UV2ACXX_0:1:1101:334:0/1
ERR257948.72 D1UV2ACXX_0:1:1101:386:0/1
ERR257948.79 D1UV2ACXX_0:1:1101:436:0/1
ERR257948.80 D1UV2ACXX_0:1:1101:439:0/1
ERR257948.81 D1UV2ACXX_0:1:1101:447:0/1
ERR257948.93 D1UV2ACXX_0:1:1101:497:0/1
ERR257948.94 D1UV2ACXX_0:1:1101:499:0/1
ERR257948.95 D1UV2ACXX_0:1:1101:500:0/1
ERR257948.103 D1UV2ACXX_0:1:1101:554:0/1
ERR257948.104 D1UV2ACXX_0:1:1101:557:0/1
ERR257948.119 D1UV2ACXX_0:1:1101:656:0/1
ERR257948.120 D1UV2ACXX_0:1:1101:661:0/1
ERR257948.130 D1UV2ACXX_0:1:1101:713:0/1
ERR257948.131 D1UV2ACXX_0:1:1101:724:0/1
ERR257948.138 D1UV2ACXX_0:1:1101:763:0/1
ERR257948.139 D1UV2ACXX_0:1:1101:764:0/1
ERR257948.140 D1UV2ACXX_0:1:1101:767:0/1
ERR257948.141 D1UV2ACXX_0:1:1101:771:0/1
ERR257948.142 D1UV2ACXX_0:1:1101:772:0/1
ERR257948.143 D1UV2ACXX_0:1:1101:774:0/1
ERR257948.144 D1UV2ACXX_0:1:1101:777:0/1
ERR257948.156 D1UV2ACXX_0:1:1101:824:0/1
ERR257948.157 D1UV2ACXX_0:1:1101:828:0/1
ERR257948.158 D1UV2ACXX_0:1:1101:831:0/1
ERR257948.167 D1UV2ACXX_0:1:1101:889:0/1
ERR257948.168 D1UV2ACXX_0:1:1101:891:0/1
ERR257948.169 D1UV2ACXX_0:1:1101:893:0/1
ERR257948.170 D1UV2ACXX_0:1:1101:894:0/1
ERR257948.175 D1UV2ACXX_0:1:1101:951:0/1
ERR257948.176 D1UV2ACXX_0:1:1101:953:0/1
ERR257948.177 D1UV2ACXX_0:1:1101:962:0/1
ERR257948.186 D1UV2ACXX_0:1:1101:1021:0/1
ERR257948.191 D1UV2ACXX_0:1:1101:1077:0/1
ERR257948.192 D1UV2ACXX_0:1:1101:1083:0/1
ERR257948.199 D1UV2ACXX_0:1:1101:1134:0/1
ERR257948.200 D1UV2ACXX_0:1:1101:1136:0/1
ERR257948.201 D1UV2ACXX_0:1:1101:1141:0/1
ERR257948.211 D1UV2ACXX_0:1:1101:1186:0/1
ERR257948.212 D1UV2ACXX_0:1:1101:1189:0/1
ERR257948.213 D1UV2ACXX_0:1:1101:1191:0/1
ERR257948.216 D1UV2ACXX_0:1:1101:1237:0/1
ERR257948.230 D1UV2ACXX_0:1:1101:1354:0/1
ERR257948.231 D1UV2ACXX_0:1:1101:1355:0/1
ERR257948.232 D1UV2ACXX_0:1:1101:1357:0/1
ERR257948.233 D1UV2ACXX_0:1:1101:1359:0/1
ERR257948.234 D1UV2ACXX_0:1:1101:1366:0/1
ERR257948.245 D1UV2ACXX_0:1:1101:1414:0/1
ERR257948.246 D1UV2ACXX_0:1:1101:1420:0/1
ERR257948.247 D1UV2ACXX_0:1:1101:1422:0/1
ERR257948.248 D1UV2ACXX_0:1:1101:1424:0/1
ERR257948.261 D1UV2ACXX_0:1:1101:1473:0/1
ERR257948.269 D1UV2ACXX_0:1:1101:1531:0/1
ERR257948.270 D1UV2ACXX_0:1:1101:1540:0/1
ERR257948.275 D1UV2ACXX_0:1:1101:1586:0/1
ERR257948.276 D1UV2ACXX_0:1:1101:1589:0/1
ERR257948.281 D1UV2ACXX_0:1:1101:1642:0/1
ERR257948.282 D1UV2ACXX_0:1:1101:1645:0/1
ERR257948.283 D1UV2ACXX_0:1:1101:1653:0/1
ERR257948.296 D1UV2ACXX_0:1:1101:1746:0/1
ERR257948.305 D1UV2ACXX_0:1:1101:1809:0/1
ERR257948.306 D1UV2ACXX_0:1:1101:1811:0/1
ERR257948.318 D1UV2ACXX_0:1:1101:1873:0/1
ERR257948.319 D1UV2ACXX_0:1:1101:1876:0/1
ERR257948.328 D1UV2ACXX_0:1:1101:1923:0/1
ERR257948.329 D1UV2ACXX_0:1:1101:1924:0/1
ERR257948.330 D1UV2ACXX_0:1:1101:1927:0/1
ERR257948.331 D1UV2ACXX_0:1:1101:1930:0/1
ERR257948.341 D1UV2ACXX_0:1:1101:1986:0/1
ERR257948.342 D1UV2ACXX_0:1:1101:1991:0/1
ERR257948.343 D1UV2ACXX_0:1:1101:1992:0/1
ERR257948.344 D1UV2ACXX_0:1:1101:1993:0/1
ERR257948.355 D1UV2ACXX_0:1:1101:2042:0/1
ERR257948.356 D1UV2ACXX_0:1:1101:2050:0/1
ERR257948.357 D1UV2ACXX_0:1:1101:2054:0/1
ERR257948.363 D1UV2ACXX_0:1:1101:2103:0/1
ERR257948.364 D1UV2ACXX_0:1:1101:2114:0/1
