SRR043409.575 61ED1AAXX100429:3:1:1039:1223/1
SRR043409.578 61ED1AAXX100429:3:1:1040:4755/1
SRR043409.580 61ED1AAXX100429:3:1:1040:3249/1
SRR043409.584 61ED1AAXX100429:3:1:1040:10335/1
SRR043409.585 61ED1AAXX100429:3:1:1040:2487/1
SRR043409.587 61ED1AAXX100429:3:1:1041:1545/1
SRR043409.588 61ED1AAXX100429:3:1:1041:4108/1
SRR043409.590 61ED1AAXX100429:3:1:1041:5661/1
SRR043409.591 61ED1AAXX100429:3:1:1041:1788/1
SRR043409.592 61ED1AAXX100429:3:1:1041:6229/1
SRR043409.593 61ED1AAXX100429:3:1:1041:14953/1
SRR043409.594 61ED1AAXX100429:3:1:1042:9567/1
SRR043409.595 61ED1AAXX100429:3:1:1042:15827/1
SRR043409.596 61ED1AAXX100429:3:1:1042:18722/1
SRR043409.597 61ED1AAXX100429:3:1:1042:7088/1
SRR043409.598 61ED1AAXX100429:3:1:1042:4867/1
SRR043409.600 61ED1AAXX100429:3:1:1042:6156/1
SRR043409.601 61ED1AAXX100429:3:1:1042:20210/1
SRR043409.602 61ED1AAXX100429:3:1:1042:19955/1
SRR043409.603 61ED1AAXX100429:3:1:1043:17612/1
SRR043409.605 61ED1AAXX100429:3:1:1043:14137/1
SRR043409.606 61ED1AAXX100429:3:1:1043:15293/1
SRR043409.607 61ED1AAXX100429:3:1:1043:12766/1
SRR043409.608 61ED1AAXX100429:3:1:1043:20185/1
SRR043409.609 61ED1AAXX100429:3:1:1043:15637/1
SRR043409.610 61ED1AAXX100429:3:1:1043:16953/1
SRR043409.611 61ED1AAXX100429:3:1:1043:9535/1
SRR043409.612 61ED1AAXX100429:3:1:1043:14484/1
SRR043409.613 61ED1AAXX100429:3:1:1043:8631/1
SRR043409.614 61ED1AAXX100429:3:1:1043:11230/1
SRR043409.615 61ED1AAXX100429:3:1:1043:16209/1
SRR043409.616 61ED1AAXX100429:3:1:1043:13165/1
SRR043409.617 61ED1AAXX100429:3:1:1044:6130/1
SRR043409.618 61ED1AAXX100429:3:1:1044:18093/1
SRR043409.620 61ED1AAXX100429:3:1:1044:5152/1
SRR043409.621 61ED1AAXX100429:3:1:1044:6915/1
SRR043409.622 61ED1AAXX100429:3:1:1044:18560/1
SRR043409.623 61ED1AAXX100429:3:1:1044:6657/1
SRR043409.624 61ED1AAXX100429:3:1:1044:7454/1
SRR043409.625 61ED1AAXX100429:3:1:1044:9634/1
SRR043409.626 61ED1AAXX100429:3:1:1044:16091/1
SRR043409.627 61ED1AAXX100429:3:1:1044:2652/1
SRR043409.628 61ED1AAXX100429:3:1:1044:16562/1
SRR043409.629 61ED1AAXX100429:3:1:1044:19500/1
SRR043409.630 61ED1AAXX100429:3:1:1044:11720/1
SRR043409.631 61ED1AAXX100429:3:1:1044:14675/1
SRR043409.632 61ED1AAXX100429:3:1:1044:2297/1
SRR043409.633 61ED1AAXX100429:3:1:1045:18121/1
SRR043409.634 61ED1AAXX100429:3:1:1045:10682/1
SRR043409.635 61ED1AAXX100429:3:1:1045:3666/1
SRR043409.636 61ED1AAXX100429:3:1:1045:7604/1
SRR043409.637 61ED1AAXX100429:3:1:1045:9932/1
SRR043409.639 61ED1AAXX100429:3:1:1045:19978/1
SRR043409.640 61ED1AAXX100429:3:1:1045:3634/1
SRR043409.641 61ED1AAXX100429:3:1:1045:15127/1
SRR043409.642 61ED1AAXX100429:3:1:1045:3690/1
SRR043409.643 61ED1AAXX100429:3:1:1046:3422/1
SRR043409.644 61ED1AAXX100429:3:1:1046:15228/1
SRR043409.645 61ED1AAXX100429:3:1:1046:6401/1
SRR043409.646 61ED1AAXX100429:3:1:1046:5866/1
SRR043409.647 61ED1AAXX100429:3:1:1046:12816/1
SRR043409.648 61ED1AAXX100429:3:1:1046:9229/1
SRR043409.649 61ED1AAXX100429:3:1:1046:14335/1
SRR043409.650 61ED1AAXX100429:3:1:1046:7777/1
SRR043409.651 61ED1AAXX100429:3:1:1046:9722/1
SRR043409.652 61ED1AAXX100429:3:1:1046:17561/1
SRR043409.653 61ED1AAXX100429:3:1:1046:8715/1
SRR043409.654 61ED1AAXX100429:3:1:1046:17058/1
SRR043409.655 61ED1AAXX100429:3:1:1046:17229/1
SRR043409.656 61ED1AAXX100429:3:1:1046:19726/1
SRR043409.657 61ED1AAXX100429:3:1:1047:17017/1
SRR043409.658 61ED1AAXX100429:3:1:1047:1659/1
SRR043409.659 61ED1AAXX100429:3:1:1047:17639/1
SRR043409.660 61ED1AAXX100429:3:1:1047:4672/1
SRR043409.661 61ED1AAXX100429:3:1:1047:14241/1
SRR043409.662 61ED1AAXX100429:3:1:1047:4776/1
SRR043409.663 61ED1AAXX100429:3:1:1048:7704/1
SRR043409.664 61ED1AAXX100429:3:1:1048:8013/1
SRR043409.665 61ED1AAXX100429:3:1:1048:2259/1
SRR043409.666 61ED1AAXX100429:3:1:1048:6745/1
SRR043409.667 61ED1AAXX100429:3:1:1048:9789/1
SRR043409.668 61ED1AAXX100429:3:1:1048:6076/1
SRR043409.669 61ED1AAXX100429:3:1:1048:18674/1
SRR043409.670 61ED1AAXX100429:3:1:1048:1478/1
SRR043409.671 61ED1AAXX100429:3:1:1048:12382/1
SRR043409.672 61ED1AAXX100429:3:1:1048:18850/1
SRR043409.673 61ED1AAXX100429:3:1:1048:1973/1
SRR043409.674 61ED1AAXX100429:3:1:1048:16887/1
SRR043409.676 61ED1AAXX100429:3:1:1049:9870/1
SRR043409.677 61ED1AAXX100429:3:1:1049:3159/1
SRR043409.678 61ED1AAXX100429:3:1:1049:19898/1
SRR043409.679 61ED1AAXX100429:3:1:1049:4269/1
SRR043409.680 61ED1AAXX100429:3:1:1049:2609/1
SRR043409.681 61ED1AAXX100429:3:1:1049:3042/1
SRR043409.682 61ED1AAXX100429:3:1:1049:19759/1
SRR043409.683 61ED1AAXX100429:3:1:1049:15595/1
SRR043409.684 61ED1AAXX100429:3:1:1049:4799/1
SRR043409.685 61ED1AAXX100429:3:1:1049:6359/1
SRR043409.686 61ED1AAXX100429:3:1:1049:10973/1
SRR043409.687 61ED1AAXX100429:3:1:1050:16047/1
SRR043409.688 61ED1AAXX100429:3:1:1050:17928/1
SRR043409.689 61ED1AAXX100429:3:1:1050:15958/1
SRR043409.690 61ED1AAXX100429:3:1:1050:13869/1
SRR043409.691 61ED1AAXX100429:3:1:1050:19104/1
SRR043409.692 61ED1AAXX100429:3:1:1050:8893/1
SRR043409.693 61ED1AAXX100429:3:1:1050:16926/1
SRR043409.694 61ED1AAXX100429:3:1:1050:16460/1
SRR043409.695 61ED1AAXX100429:3:1:1050:15337/1
SRR043409.696 61ED1AAXX100429:3:1:1050:6265/1
SRR043409.698 61ED1AAXX100429:3:1:1051:12333/1
SRR043409.699 61ED1AAXX100429:3:1:1051:5548/1
SRR043409.700 61ED1AAXX100429:3:1:1051:13244/1
SRR043409.701 61ED1AAXX100429:3:1:1051:15572/1
SRR043409.703 61ED1AAXX100429:3:1:1051:17147/1
SRR043409.704 61ED1AAXX100429:3:1:1051:12577/1
SRR043409.705 61ED1AAXX100429:3:1:1051:8809/1
SRR043409.706 61ED1AAXX100429:3:1:1051:2847/1
SRR043409.707 61ED1AAXX100429:3:1:1051:9316/1
SRR043409.708 61ED1AAXX100429:3:1:1051:10428/1
SRR043409.709 61ED1AAXX100429:3:1:1051:9278/1
SRR043409.710 61ED1AAXX100429:3:1:1051:7232/1
SRR043409.712 61ED1AAXX100429:3:1:1052:1602/1
SRR043409.713 61ED1AAXX100429:3:1:1052:7114/1
SRR043409.714 61ED1AAXX100429:3:1:1052:11881/1
SRR043409.715 61ED1AAXX100429:3:1:1052:6828/1
SRR043409.716 61ED1AAXX100429:3:1:1052:7308/1
SRR043409.717 61ED1AAXX100429:3:1:1052:5336/1
SRR043409.718 61ED1AAXX100429:3:1:1052:18371/1
SRR043409.719 61ED1AAXX100429:3:1:1052:2214/1
SRR043409.720 61ED1AAXX100429:3:1:1052:14085/1
SRR043409.721 61ED1AAXX100429:3:1:1052:13660/1
SRR043409.722 61ED1AAXX100429:3:1:1052:11616/1
SRR043409.723 61ED1AAXX100429:3:1:1052:14618/1
SRR043409.724 61ED1AAXX100429:3:1:1052:9198/1
SRR043409.725 61ED1AAXX100429:3:1:1052:2457/1
SRR043409.726 61ED1AAXX100429:3:1:1052:7809/1
SRR043409.727 61ED1AAXX100429:3:1:1052:20142/1
SRR043409.728 61ED1AAXX100429:3:1:1053:16338/1
SRR043409.729 61ED1AAXX100429:3:1:1053:5637/1
SRR043409.730 61ED1AAXX100429:3:1:1053:4159/1
SRR043409.731 61ED1AAXX100429:3:1:1053:8678/1
SRR043409.732 61ED1AAXX100429:3:1:1053:7674/1
SRR043409.733 61ED1AAXX100429:3:1:1053:2352/1
SRR043409.734 61ED1AAXX100429:3:1:1053:2698/1
SRR043409.735 61ED1AAXX100429:3:1:1053:17444/1
SRR043409.736 61ED1AAXX100429:3:1:1053:5582/1
SRR043409.737 61ED1AAXX100429:3:1:1053:14901/1
SRR043409.738 61ED1AAXX100429:3:1:1053:13812/1
SRR043409.739 61ED1AAXX100429:3:1:1053:10603/1
SRR043409.740 61ED1AAXX100429:3:1:1054:15994/1
SRR043409.741 61ED1AAXX100429:3:1:1054:18415/1
SRR043409.742 61ED1AAXX100429:3:1:1054:5617/1
SRR043409.743 61ED1AAXX100429:3:1:1054:18802/1
SRR043409.744 61ED1AAXX100429:3:1:1054:15259/1
SRR043409.745 61ED1AAXX100429:3:1:1054:17174/1
SRR043409.746 61ED1AAXX100429:3:1:1054:6521/1
SRR043409.747 61ED1AAXX100429:3:1:1054:4302/1
SRR043409.748 61ED1AAXX100429:3:1:1055:4939/1
SRR043409.749 61ED1AAXX100429:3:1:1055:10225/1
SRR043409.750 61ED1AAXX100429:3:1:1055:3607/1
SRR043409.751 61ED1AAXX100429:3:1:1055:4055/1
SRR043409.752 61ED1AAXX100429:3:1:1055:18757/1
SRR043409.753 61ED1AAXX100429:3:1:1055:6446/1
SRR043409.754 61ED1AAXX100429:3:1:1055:4645/1
SRR043409.755 61ED1AAXX100429:3:1:1055:1872/1
SRR043409.756 61ED1AAXX100429:3:1:1055:4445/1
SRR043409.758 61ED1AAXX100429:3:1:1055:7654/1
SRR043409.759 61ED1AAXX100429:3:1:1055:8580/1
SRR043409.760 61ED1AAXX100429:3:1:1055:9551/1
SRR043409.761 61ED1AAXX100429:3:1:1055:3909/1
SRR043409.763 61ED1AAXX100429:3:1:1055:2168/1
SRR043409.764 61ED1AAXX100429:3:1:1055:8217/1
SRR043409.765 61ED1AAXX100429:3:1:1055:15503/1
SRR043409.766 61ED1AAXX100429:3:1:1056:11492/1
SRR043409.767 61ED1AAXX100429:3:1:1056:3299/1
SRR043409.768 61ED1AAXX100429:3:1:1056:19440/1
SRR043409.769 61ED1AAXX100429:3:1:1056:8073/1
SRR043409.770 61ED1AAXX100429:3:1:1056:7045/1
SRR043409.771 61ED1AAXX100429:3:1:1056:17708/1
SRR043409.772 61ED1AAXX100429:3:1:1056:9046/1
SRR043409.773 61ED1AAXX100429:3:1:1056:18028/1
SRR043409.774 61ED1AAXX100429:3:1:1056:2402/1
SRR043409.775 61ED1AAXX100429:3:1:1056:14785/1
SRR043409.776 61ED1AAXX100429:3:1:1057:3511/1
SRR043409.777 61ED1AAXX100429:3:1:1057:1743/1
SRR043409.778 61ED1AAXX100429:3:1:1057:3330/1
SRR043409.779 61ED1AAXX100429:3:1:1057:7146/1
SRR043409.780 61ED1AAXX100429:3:1:1057:18480/1
SRR043409.781 61ED1AAXX100429:3:1:1057:1532/1
SRR043409.782 61ED1AAXX100429:3:1:1057:10186/1
SRR043409.783 61ED1AAXX100429:3:1:1057:2005/1
SRR043409.784 61ED1AAXX100429:3:1:1057:6548/1
SRR043409.785 61ED1AAXX100429:3:1:1057:18651/1
SRR043409.786 61ED1AAXX100429:3:1:1057:9256/1
SRR043409.787 61ED1AAXX100429:3:1:1057:16797/1
SRR043409.788 61ED1AAXX100429:3:1:1057:10734/1
SRR043409.789 61ED1AAXX100429:3:1:1057:4999/1
SRR043409.790 61ED1AAXX100429:3:1:1057:13481/1
SRR043409.791 61ED1AAXX100429:3:1:1057:13444/1
SRR043409.793 61ED1AAXX100429:3:1:1057:7870/1
SRR043409.794 61ED1AAXX100429:3:1:1058:16710/1
SRR043409.795 61ED1AAXX100429:3:1:1058:6311/1
SRR043409.796 61ED1AAXX100429:3:1:1058:17543/1
SRR043409.797 61ED1AAXX100429:3:1:1058:9373/1
