SRR395323.3481933 3481930/2
SRR395323.3481934 3481934/2
SRR395323.3481935 3481935/2
SRR395323.3481936 3481936/2
SRR395323.3481937 3481937/2
SRR395323.3481938 3481938/2
SRR395323.3481939 3481939/2
SRR395323.3481940 3481940/2
SRR395323.3481941 3481948/2
SRR395323.3481942 3481942/2
SRR395323.3481943 3481943/2
SRR395323.3481944 3481944/2
SRR395323.3481945 3481945/2
SRR395323.3481946 3481946/2
SRR395323.3481947 3481947/2
SRR395323.3481948 3481948/2
SRR395323.3481949 3481949/2
SRR395323.3481950 3481950/2
SRR395323.3481951 3481951/2
SRR395323.3481952 3481952/2
SRR395323.3481953 3481953/2
SRR395323.3481954 3481954/2
SRR395323.3481955 3481955/2
SRR395323.3481956 3481956/2
SRR395323.3481957 3481957/2
SRR395323.3481958 3481958/2
SRR395323.3481959 3481959/2
SRR395323.3481960 3481960/2
SRR395323.3481961 3481961/2
SRR395323.3481962 3481962/2
SRR395323.3481963 3481963/2
SRR395323.3481964 3481964/2
SRR395323.3481965 3481965/2
SRR395323.3481966 3481966/2
SRR395323.3481967 3481967/2
SRR395323.3481968 3481968/2
SRR395323.3481969 3481969/2
SRR395323.3481970 3481970/2
SRR395323.3481971 3481971/2
SRR395323.3481972 3481972/2
SRR395323.3481978 3481978/2
SRR395323.3481979 3481979/2
SRR395323.3481980 3481980/2
SRR395323.3481981 3481981/2
SRR395323.3481982 3481982/2
SRR395323.3481983 3481983/2
SRR395323.3481984 3481984/2
SRR395323.3481985 3481985/2
SRR395323.3481986 3481986/2
SRR395323.3481987 3481987/2
SRR395323.3481988 3481988/2
SRR395323.3481989 3481989/2
SRR395323.3481990 3481990/2
SRR395323.3481991 3481991/2
SRR395323.3481992 3481992/2
SRR395323.3481993 3481993/2
SRR395323.3481994 3481994/2
SRR395323.3481995 3481995/2
SRR395323.3481996 3481996/2
SRR395323.3481997 3481997/2
SRR395323.3481998 3481998/2
SRR395323.3481999 3481999/2
SRR395323.3482000 3482000/2
SRR395323.3482001 3482001/2
SRR395323.3482002 3482002/2
SRR395323.3482003 3482003/2
SRR395323.3482004 3482004/2
SRR395323.3482005 3482005/2
SRR395323.3482006 3482006/2
SRR395323.3482007 3482007/2
SRR395323.3482008 3482008/2
SRR395323.3482009 3482009/2
SRR395323.3482010 3482010/2
SRR395323.3482011 3482011/2
SRR395323.3482012 3482012/2
SRR395323.3482013 3482013/2
SRR395323.3482014 3482014/2
SRR395323.3482015 3482015/2
SRR395323.3482016 3482016/2
SRR395323.3482017 3482017/2
SRR395323.3482018 3482018/2
SRR395323.3482019 3482019/2
SRR395323.3482020 3482020/2
SRR395323.3482021 3482021/2
SRR395323.3482022 3482022/2
SRR395323.3482023 3482023/2
SRR395323.3482024 3482024/2
SRR395323.3482025 3482025/2
SRR395323.3482026 3482026/2
SRR395323.3482027 3482027/2
SRR395323.3482028 3482028/2
SRR395323.3482029 3482029/2
SRR395323.3482030 3482030/2
SRR395323.3482031 3482031/2
SRR395323.3482032 3482032/2
SRR395323.3482033 3482033/2
SRR395323.3482034 3482034/2
SRR395323.3482035 3482035/2
SRR395323.3482036 3482036/2
SRR395323.3482037 3482037/2
SRR395323.3482038 3482038/2
SRR395323.3482039 3482039/2
SRR395323.3482040 3482040/2
SRR395323.3482041 3482041/2
SRR395323.3482042 3482042/2
SRR395323.3482043 3482043/2
SRR395323.3482044 3482044/2
SRR395323.3482045 3482045/2
SRR395323.3482046 3482046/2
SRR395323.3482047 3482047/2
SRR395323.3482048 3482048/2
SRR395323.3482049 3482049/2
SRR395323.3482050 3482050/2
SRR395323.3482051 3482051/2
SRR395323.3482052 3482052/2
SRR395323.3482053 3482053/2
SRR395323.3482054 3482054/2
SRR395323.3482055 3482055/2
SRR395323.3482056 3482056/2
SRR395323.3482057 3482057/2
SRR395323.3482058 3482058/2
SRR395323.3482059 3482059/2
SRR395323.3482060 3482060/2
SRR395323.3482061 3482061/2
SRR395323.3482062 3482062/2
SRR395323.3482063 3482063/2
SRR395323.3482064 3482064/2
SRR395323.3482065 3482065/2
SRR395323.3482066 3482066/2
SRR395323.3482067 3482067/2
SRR395323.3482068 3482068/2
SRR395323.3482069 3482069/2
SRR395323.3482070 3482070/2
SRR395323.3482071 3482071/2
SRR395323.3482072 3482072/2
SRR395323.3482073 3482073/2
SRR395323.3482074 3482074/2
SRR395323.3482075 3482075/2
SRR395323.3482076 3482076/2
SRR395323.3482077 3482077/2
SRR395323.3482078 3482078/2
SRR395323.3482079 3482079/2
SRR395323.3482080 3482080/2
SRR395323.3482081 3482081/2
SRR395323.3482082 3482082/2
SRR395323.3482083 3482083/2
SRR395323.3482084 3482084/2
SRR395323.3482085 3482085/2
SRR395323.3482086 3482086/2
SRR395323.3482087 3482087/2
SRR395323.3482088 3482088/2
SRR395323.3482089 3482089/2
SRR395323.3482090 3482090/2
SRR395323.3482091 3482091/2
SRR395323.3482092 3482092/2
SRR395323.3482093 3482093/2
SRR395323.3482094 3482094/2
SRR395323.3482095 3482095/2
SRR395323.3482096 3482096/2
SRR395323.3482097 3482097/2
SRR395323.3482098 3482098/2
SRR395323.3482099 3482099/2
SRR395323.3482100 3482100/2
SRR395323.3482101 3482101/2
SRR395323.3482102 3482102/2
SRR395323.3482103 3482103/2
SRR395323.3482104 3482104/2
SRR395323.3482105 3482105/2
SRR395323.3482106 3482106/2
SRR395323.3482107 3482107/2
SRR395323.3482108 3482108/2
SRR395323.3482109 3482109/2
SRR395323.3482110 3482110/2
SRR395323.3482111 3482111/2
SRR395323.3482112 3482112/2
SRR395323.3482113 3482113/2
SRR395323.3482114 3482114/2
SRR395323.3482115 3482115/2
SRR395323.3482116 3482116/2
SRR395323.3482117 3482117/2
SRR395323.3482118 3482118/2
SRR395323.3482119 3482119/2
SRR395323.3482120 3482120/2
SRR395323.3482121 3482121/2
SRR395323.3482122 3482122/2
SRR395323.3482123 3482123/2
SRR395323.3482124 3482124/2
SRR395323.3482125 3482125/2
SRR395323.3482126 3482126/2
SRR395323.3482127 3482127/2
SRR395323.3482128 3482128/2
SRR395323.3482129 3482129/2
SRR395323.3482130 3482130/2
SRR395323.3482131 3482131/2
SRR395323.3482132 3482132/2
SRR395323.3482133 3482133/2
SRR395323.3482134 3482134/2
SRR395323.3482135 3482135/2
SRR395323.3482136 3482136/2
SRR395323.3482137 3482137/2
SRR395323.3482138 3482138/2
SRR395323.3482139 3482139/2
SRR395323.3482140 3482140/2
SRR395323.3482141 3482141/2
SRR395323.3482142 3482142/2
SRR395323.3482143 3482143/2
SRR395323.3482144 3482144/2
SRR395323.3482145 3482145/2
SRR395323.3482146 3482146/2
SRR395323.3482147 3482147/2
SRR395323.3482148 3482148/2
SRR395323.3482149 3482149/2
SRR395323.3482150 3482150/2
SRR395323.3482151 3482151/2
SRR395323.3482152 3482152/2
SRR395323.3482153 3482153/2
SRR395323.3482154 3482154/2
SRR395323.3482155 3482155/2
SRR395323.3482156 3482156/2
SRR395323.3482157 3482157/2
SRR395323.3482158 3482158/2
SRR395323.3482159 3482159/2
SRR395323.3482160 3482160/2
SRR395323.3482161 3482161/2
SRR395323.3482162 3482162/2
SRR395323.3482163 3482163/2
SRR395323.3482164 3482164/2
SRR395323.3482165 3482165/2
SRR395323.3482166 3482166/2
SRR395323.3482167 3482167/2
SRR395323.3482168 3482168/2
SRR395323.3482169 3482169/2
SRR395323.3482170 3482170/2
SRR395323.3482171 3482171/2
SRR395323.3482172 3482172/2
SRR395323.3482173 3482173/2
SRR395323.3482174 3482174/2
SRR395323.3482175 3482175/2
SRR395323.3482176 3482176/2
SRR395323.3482177 3482177/2
SRR395323.3482178 3482178/2
SRR395323.3482179 3482179/2
SRR395323.3482180 3482180/2
SRR395323.3482181 3482181/2
SRR395323.3482182 3482182/2
SRR395323.3482183 3482183/2
SRR395323.3482184 3482184/2
SRR395323.3482185 3482185/2
SRR395323.3482186 3482186/2
SRR395323.3482187 3482187/2
SRR395323.3482188 3482188/2
SRR395323.3482189 3482189/2
SRR395323.3482190 3482190/2
SRR395323.3482191 3482191/2
SRR395323.3482192 3482192/2
SRR395323.3482193 3482193/2
SRR395323.3482194 3482194/2
SRR395323.3482195 3482195/2
SRR395323.3482196 3482196/2
SRR395323.3482197 3482197/2
SRR395323.3482198 3482198/2
SRR395323.3482199 3482199/2
SRR395323.3482200 3482200/2
SRR395323.3482201 3482201/2
SRR395323.3482202 3482202/2
SRR395323.3482203 3482203/2
SRR395323.3482204 3482204/2
SRR395323.3482205 3482205/2
SRR395323.3482206 3482206/2
SRR395323.3482207 3482207/2
SRR395323.3482208 3482208/2
SRR395323.3482209 3482209/2
SRR395323.3482210 3482210/2
SRR395323.3482211 3482211/2
SRR395323.3482212 3482212/2
SRR395323.3482213 3482213/2
SRR395323.3482214 3482214/2
SRR395323.3482215 3482215/2
SRR395323.3482216 3482216/2
SRR395323.3482217 3482217/2
SRR395323.3482218 3482218/2
SRR395323.3482219 3482219/2
SRR395323.3482220 3482220/2
SRR395323.3482221 3482221/2
SRR395323.3482222 3482222/2
SRR395323.3482223 3482223/2
SRR395323.3482224 3482224/2
SRR395323.3482225 3482225/2
SRR395323.3482226 3482226/2
SRR395323.3482227 3482227/2
SRR395323.3482228 3482228/2
SRR395323.3482229 3482229/2
SRR395323.3482230 3482230/2
SRR395323.3482231 3482231/2
SRR395323.3482232 3482232/2
SRR395323.3482233 3482233/2
SRR395323.3482234 3482234/2
SRR395323.3482235 3482235/2
SRR395323.3482236 3482236/2
SRR395323.3482237 3482237/2
SRR395323.3482238 3482238/2
SRR395323.3482239 3482239/2
SRR395323.3482240 3482240/2
SRR395323.3482241 3482241/2
SRR395323.3482242 3482242/2
SRR395323.3482243 3482243/2
SRR395323.3482244 3482244/2
SRR395323.3482245 3482245/2
SRR395323.3482246 3482246/2
SRR395323.3482247 3482247/2
SRR395323.3482248 3482248/2
SRR395323.3482249 3482249/2
SRR395323.3482250 3482250/2
SRR395323.3482251 3482251/2
SRR395323.3482252 3482252/2
SRR395323.3482253 3482253/2
SRR395323.3482254 3482254/2
SRR395323.3482255 3482255/2
SRR395323.3482256 3482256/2
SRR395323.3482257 3482257/2
SRR395323.3482258 3482258/2
SRR395323.3482259 3482259/2
SRR395323.3482260 3482260/2
SRR395323.3482261 3482261/2
SRR395323.3482262 3482262/2
SRR395323.3482263 3482263/2
SRR395323.3482264 3482264/2
SRR395323.3482265 3482265/2
SRR395323.3482266 3482266/2
SRR395323.3482267 3482267/2
SRR395323.3482268 3482268/2
SRR395323.3482269 3482269/2
SRR395323.3482270 3482270/2
SRR395323.3482271 3482271/2
SRR395323.3482272 3482272/2
SRR395323.3482273 3482273/2
SRR395323.3482274 3482274/2
SRR395323.3482275 3482275/2
SRR395323.3482276 3482276/2
SRR395323.3482277 3482277/2
SRR395323.3482278 3482278/2
SRR395323.3482279 3482279/2
SRR395323.3482280 3482280/2
SRR395323.3482281 3482281/2
SRR395323.3482282 3482282/2
SRR395323.3482283 3482283/2
SRR395323.3482284 3482284/2
SRR395323.3482285 3482285/2
SRR395323.3482286 3482286/2
SRR395323.3482287 3482287/2
SRR395323.3482288 3482288/2
SRR395323.3482289 3482289/2
SRR395323.3482290 3482290/2
SRR395323.3482291 3482291/2
SRR395323.3482292 3482292/2
SRR395323.3482293 3482293/2
SRR395323.3482294 3482294/2
SRR395323.3482295 3482295/2
SRR395323.3482296 3482296/2
SRR395323.3482297 3482297/2
SRR395323.3482298 3482298/2
SRR395323.3482299 3482299/2
SRR395323.3482300 3482300/2
SRR395323.3482301 3482301/2
SRR395323.3482302 3482302/2
SRR395323.3482303 3482303/2
SRR395323.3482304 3482304/2
SRR395323.3482305 3482305/2
SRR395323.3482306 3482306/2
SRR395323.3482307 3482307/2
SRR395323.3482308 3482308/2
SRR395323.3482309 3482309/2
SRR395323.3482310 3482310/2
SRR395323.3482311 3482311/2
SRR395323.3482312 3482312/2
SRR395323.3482313 3482313/2
SRR395323.3482314 3482314/2
SRR395323.3482315 3482315/2
SRR395323.3482316 3482316/2
SRR395323.3482317 3482317/2
SRR395323.3482318 3482318/2
SRR395323.3482319 3482319/2
SRR395323.3482320 3482320/2
SRR395323.3482321 3482321/2
SRR395323.3482322 3482322/2
SRR395323.3482323 3482323/2
SRR395323.3482324 3482324/2
SRR395323.3482325 3482325/2
SRR395323.3482327 3482327/2
SRR395323.3482328 3482328/2
SRR395323.3482329 3482329/2
SRR395323.3482330 3482330/2
SRR395323.3482331 3482331/2
SRR395323.3482332 3482332/2
SRR395323.3482333 3482333/2
SRR395323.3482334 3482334/2
SRR395323.3482335 3482335/2
SRR395323.3482336 3482336/2
SRR395323.3482337 3482337/2
SRR395323.3482338 3482338/2
SRR395323.3482339 3482339/2
SRR395323.3482340 3482340/2
SRR395323.3482341 3482341/2
SRR395323.3482342 3482342/2
SRR395323.3482343 3482343/2
SRR395323.3482344 3482344/2
SRR395323.3482345 3482345/2
SRR395323.3482346 3482346/2
SRR395323.3482347 3482347/2
SRR395323.3482348 3482348/2
SRR395323.3482349 3482349/2
SRR395323.3482350 3482350/2
SRR395323.3482351 3482351/2
SRR395323.3482352 3482352/2
SRR395323.3482353 3482353/2
SRR395323.3482354 3482354/2
SRR395323.3482355 3482355/2
SRR395323.3482356 3482356/2
SRR395323.3482357 3482357/2
SRR395323.3482358 3482358/2
SRR395323.3482359 3482359/2
SRR395323.3482360 3482360/2
SRR395323.3482361 3482361/2
SRR395323.3482362 3482362/2
SRR395323.3482363 3482363/2
SRR395323.3482364 3482364/2
SRR395323.3482365 3482365/2
SRR395323.3482366 3482366/2
SRR395323.3482367 3482367/2
SRR395323.3482368 3482368/2
SRR395323.3482369 3482369/2
SRR395323.3482370 3482370/2
SRR395323.3482371 3482371/2
SRR395323.3482372 3482372/2
SRR395323.3482373 3482373/2
SRR395323.3482374 3482374/2
SRR395323.3482375 3482375/2
SRR395323.3482376 3482376/2
SRR395323.3482377 3482377/2
SRR395323.3482378 3482378/2
SRR395323.3482379 3482379/2
SRR395323.3482380 3482380/2
SRR395323.3482381 3482381/2
SRR395323.3482382 3482382/2
SRR395323.3482383 3482383/2
SRR395323.3482384 3482384/2
SRR395323.3482385 3482385/2
SRR395323.3482386 3482386/2
SRR395323.3482387 3482387/2
SRR395323.3482388 3482388/2
SRR395323.3482389 3482389/2
SRR395323.3482390 3482390/2
SRR395323.3482391 3482391/2
SRR395323.3482392 3482392/2
SRR395323.3482393 3482393/2
SRR395323.3482394 3482394/2
SRR395323.3482395 3482395/2
SRR395323.3482396 3482396/2
SRR395323.3482397 3482397/2
SRR395323.3482398 3482398/2
SRR395323.3482399 3482399/2
SRR395323.3482400 3482400/2
SRR395323.3482401 3482401/2
SRR395323.3482402 3482402/2
SRR395323.3482403 3482403/2
SRR395323.3482404 3482404/2
SRR395323.3482405 3482405/2
SRR395323.3482406 3482406/2
SRR395323.3482407 3482407/2
SRR395323.3482408 3482408/2
SRR395323.3482409 3482409/2
SRR395323.3482410 3482410/2
SRR395323.3482411 3482411/2
SRR395323.3482412 3482412/2
SRR395323.3482413 3482413/2
SRR395323.3482414 3482414/2
SRR395323.3482415 3482415/2
SRR395323.3482416 3482416/2
SRR395323.3482417 3482417/2
SRR395323.3482418 3482418/2
SRR395323.3482419 3482419/2
SRR395323.3482420 3482420/2
SRR395323.3482421 3482421/2
SRR395323.3482422 3482422/2
SRR395323.3482423 3482423/2
SRR395323.3482424 3482424/2
SRR395323.3482425 3482425/2
SRR395323.3482426 3482426/2
SRR395323.3482427 3482427/2
SRR395323.3482428 3482428/2
SRR395323.3482429 3482429/2
SRR395323.3482430 3482430/2
SRR395323.3482431 3482431/2
SRR395323.3482432 3482432/2
SRR395323.3482433 3482433/2
SRR395323.3482434 3482434/2
SRR395323.3482435 3482435/2
SRR395323.3482436 3482436/2
SRR395323.3482437 3482437/2
SRR395323.3482438 3482438/2
SRR395323.3482439 3482439/2
SRR395323.3482440 3482440/2
SRR395323.3482441 3482441/2
SRR395323.3482442 3482442/2
SRR395323.3482443 3482443/2
SRR395323.3482444 3482444/2
SRR395323.3482445 3482445/2
SRR395323.3482446 3482446/2
SRR395323.3482447 3482447/2
SRR395323.3482448 3482448/2
SRR395323.3482449 3482449/2
SRR395323.3482450 3482450/2
SRR395323.3482451 3482451/2
SRR395323.3482452 3482452/2
SRR395323.3482453 3482453/2
SRR395323.3482454 3482454/2
SRR395323.3482455 3482455/2
SRR395323.3482456 3482456/2
SRR395323.3482457 3482457/2
SRR395323.3482458 3482458/2
SRR395323.3482459 3482459/2
SRR395323.3482460 3482460/2
SRR395323.3482461 3482461/2
SRR395323.3482462 3482462/2
SRR395323.3482463 3482463/2
SRR395323.3482464 3482464/2
